,genres
696,"[12, 10751, 14]"
697,"[10751, 12, 16, 14]"
698,"[12, 35, 878, 10751]"
699,"[16, 35, 10751]"
700,"[12, 14, 16, 10751]"
701,"[12, 35, 10751]"
702,"[10751, 35]"
703,"[12, 16, 35, 10751]"
704,"[35, 10751]"
705,"[12, 35, 10751, 14, 878]"
706,"[35, 10751, 12]"
707,"[10751, 16, 35]"
708,"[10770, 16, 10751, 35]"
709,"[10751, 9648, 16, 35, 28, 14]"
710,"[12, 16, 10751]"
711,"[18, 10751]"
712,"[12, 14, 16, 10751]"
713,"[878, 35, 10751, 14]"
714,"[16, 10751, 12, 35, 878]"
715,"[35, 10751, 9648, 80, 12, 28]"
716,"[10751, 16]"
717,"[12, 10751, 14]"
718,"[16, 10751]"
719,"[12, 14]"
720,"[12, 14, 10751]"
721,"[14, 28]"
722,"[14, 18, 10749]"
723,"[12, 14, 28]"
724,"[10749, 14, 16]"
725,"[12, 10751, 14]"
726,"[14, 12, 16, 35, 10751]"
727,"[12, 28, 14]"
728,"[14, 28, 27]"
729,"[14, 16, 10751]"
730,"[35, 10751, 14, 10749]"
731,"[12, 10751, 14]"
732,"[12, 28, 14]"
733,"[35, 18, 10751, 14, 878]"
734,"[14, 28, 878, 53, 27]"
735,"[35, 10751, 14, 16]"
736,"[18, 14, 10749]"
737,"[28, 80, 14]"
738,"[16, 12, 14]"
739,"[14, 35, 10751, 12]"
740,"[14, 28, 53]"
741,"[14, 9648, 53]"
742,"[14, 10749, 10751, 35]"
743,"[16, 14, 10751]"
744,"[14, 18, 10752]"
745,"[12, 28, 14]"
746,"[14, 18, 53, 9648, 10749]"
747,"[10751, 12, 14, 18]"
748,"[14, 35]"
749,"[16, 10751, 12, 14]"
750,"[14, 53, 9648]"
751,"[14, 28, 878]"
752,"[14, 28, 53, 878, 9648]"
753,"[16, 28, 12, 14, 878]"
754,"[28, 16, 14]"
755,"[14, 28, 53]"
756,"[14, 28, 53, 878]"
757,"[28, 16, 14, 18]"
758,"[28, 12, 14]"
759,"[35, 18, 14]"
760,"[12, 14, 28, 35, 53]"
761,"[12, 16, 35, 14, 10751]"
762,"[28, 12, 9648, 14]"
763,"[12, 28, 18, 14]"
764,"[10751, 12, 14]"
765,"[28, 53, 14]"
766,"[28, 12, 14]"
767,"[12, 14, 10751]"
768,"[14, 28, 12, 10751]"
769,"[14, 27]"
770,"[14, 35, 10751]"
771,"[18, 14, 878, 53]"
772,"[27, 878, 14, 9648, 53]"
773,"[16, 9648, 35, 10751, 12, 14, 10402]"
774,"[10770, 53, 16, 80, 18, 14]"
775,"[10751, 12, 16, 14, 28]"
776,"[14, 18, 53, 10749]"
777,"[10751, 12, 16, 14, 28, 878]"
778,"[35, 14, 27]"
779,"[28, 12, 14, 10752]"
780,"[28, 14, 27, 9648]"
781,"[28, 14, 27]"
782,"[12, 14]"
783,"[14, 12, 35, 10751]"
784,"[12, 10751, 14, 35, 10749]"
785,"[10751, 16, 14, 35, 28]"
786,"[12, 14]"
787,"[18, 10749, 14]"
788,"[16, 18, 9648, 878, 53, 14]"
789,"[28, 12, 14, 878]"
790,"[10751, 16, 35, 14]"
791,"[14, 27]"
792,"[12, 14, 10749, 10751]"
793,"[18, 27, 9648, 14]"
794,"[27, 14]"
795,"[14, 18, 878, 10749]"
796,"[35, 14, 10749]"
797,"[28, 12, 35, 18, 14]"
798,"[12, 36, 10752]"
799,"[28, 10752, 36, 10749, 18]"
800,"[28, 36, 10752]"
801,"[18, 28, 10752, 36]"
802,"[18, 36, 10752, 28]"
803,"[12, 10752, 36, 28]"
804,"[18, 36, 10749]"
805,"[18, 36, 80]"
806,"[10752, 36, 28, 12, 18, 10749]"
807,"[18, 36]"
808,"[18, 10749, 36]"
809,"[28, 12, 18, 36, 10749, 10752]"
810,"[18, 36]"
811,"[12, 27, 28, 36]"
812,"[18, 36, 12]"
813,"[18, 36]"
814,"[28, 16, 36]"
815,"[18, 36, 10752]"
816,"[18, 53, 36]"
817,"[18, 36]"
818,"[36, 12, 10752, 28]"
819,"[10752, 18, 36]"
820,"[18, 36, 10752]"
821,"[36, 18, 10402]"
822,"[18, 36]"
823,"[18, 36, 10752]"
824,"[36, 18, 53, 80, 9648]"
825,"[28, 12, 18, 36]"
826,"[18, 36]"
827,"[18, 36]"
828,"[18, 28, 36, 53]"
829,"[28, 12, 18, 36, 10749, 10752]"
830,"[18, 36]"
831,"[18, 36, 53]"
832,"[18, 36, 10752]"
833,"[35, 18, 36]"
834,"[10749, 18, 36]"
835,"[28, 18, 36, 10752]"
836,"[18, 10749, 36]"
837,"[18, 36, 10752]"
838,"[28, 18, 36]"
839,"[36, 10749, 18]"
840,"[18, 36, 10749]"
841,"[18, 36, 10749]"
842,"[18, 36]"
843,"[18, 53, 80, 36]"
844,"[10752, 28, 18, 36, 53]"
845,"[12, 28, 36, 10752]"
846,"[10752, 28, 18, 36]"
847,"[18, 36]"
848,"[80, 18, 36]"
849,"[18, 36]"
850,"[36, 35]"
851,"[18, 10752, 10749, 36]"
852,"[18, 36]"
853,"[28, 18, 36, 10752]"
854,"[18, 36]"
855,"[28, 18, 36, 10752]"
856,"[10752, 18, 36]"
857,"[18, 36, 10752]"
858,"[18, 36]"
859,"[18, 36, 10752]"
860,"[37, 18, 36, 10770]"
861,"[14, 18, 36]"
862,"[18, 36, 10749]"
863,"[18, 10749, 36]"
864,"[16, 18, 10751, 36]"
865,"[99, 36, 10752]"
866,"[18, 36, 10752]"
867,"[10752, 18, 36]"
868,"[35, 18, 36]"
869,"[35, 10752, 36]"
870,"[99, 36]"
871,"[36, 37]"
872,"[18, 36]"
873,"[99, 36]"
874,"[18, 36]"
875,"[36, 18]"
876,"[12, 28, 18, 36]"
877,"[12, 18, 10770, 36]"
878,"[36, 18]"
879,"[28, 36]"
880,"[99, 35, 36]"
881,"[35, 18, 36]"
882,"[18, 36]"
883,"[99, 18, 36]"
884,"[18, 10749, 36]"
885,"[28, 12, 18, 36, 10752]"
886,"[10752, 36]"
887,"[18, 36]"
888,"[18, 36]"
889,"[18, 36]"
890,"[36, 18, 28, 10752]"
891,"[18, 36]"
892,"[18, 10752, 36]"
893,"[35, 99, 18, 36]"
894,"[36, 18, 10749]"
895,"[28, 80, 18, 36]"
896,"[18, 36]"
897,[27]
898,"[27, 9648, 80]"
899,"[27, 53]"
900,"[27, 53]"
901,"[27, 35]"
902,"[27, 53]"
903,"[27, 9648]"
904,[27]
905,"[27, 53, 80]"
906,"[27, 9648]"
907,"[27, 35]"
908,"[80, 18, 27, 53]"
909,[27]
910,"[27, 9648]"
911,"[27, 53]"
912,[27]
913,"[27, 9648, 53]"
914,"[27, 9648]"
915,"[14, 27, 9648, 53]"
916,"[27, 18, 878]"
917,"[18, 27, 9648]"
918,[27]
919,"[10752, 18, 27]"
920,"[27, 53]"
921,"[27, 35]"
922,[27]
923,"[18, 27, 878, 53]"
924,"[27, 9648, 53]"
925,"[27, 53]"
926,"[27, 9648]"
927,"[27, 878]"
928,[27]
929,"[27, 53]"
930,"[14, 27, 53]"
931,"[27, 53]"
932,"[28, 80, 53, 27]"
933,"[28, 27, 878]"
934,"[27, 53]"
935,"[12, 27]"
936,"[27, 878, 53]"
937,[27]
938,"[27, 53]"
939,"[27, 53]"
940,"[27, 53]"
941,"[27, 9648, 53]"
942,"[18, 27, 53]"
943,"[53, 27]"
944,"[12, 27]"
945,[27]
946,"[28, 12, 27, 53]"
947,[27]
948,"[27, 53]"
949,"[27, 53]"
950,"[27, 53]"
951,"[27, 9648, 878]"
952,"[18, 27, 80]"
953,[27]
954,"[18, 9648, 27]"
955,"[27, 878, 53]"
956,"[14, 27]"
957,[27]
